DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Year,Latitude,Longitude
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,91,46292.18681,9265.934066,8290.945055,2011,42.3631542,-71.0688334
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,54,16529.98148,10300.5,8943.537037,2011,42.3396481,-71.1050255
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,12,38979.91667,6961.166667,6120.166667,2011,42.3306338,-71.2464373
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,50,51636.44,9795.64,8261.6,2011,42.3362036,-71.1067408
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,18,31229.16667,11240.5,9323.388889,2011,42.349512,-71.063308
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,34,11241.17647,7173,6051.294118,2011,42.373977,-71.1334327
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,14,9013.642857,9032.071429,8151.785714,2011,42.3748024,-71.1042804
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,22,9897.090909,8530.090909,7821.363636,2011,42.2774915,-71.065494
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,46,11849.67391,10913.54348,9881.913043,2011,42.334447,-71.0740118
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,25,25287.64,11856.4,11093.08,2011,42.3489582,-71.1476809
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,87,40451.47126,9541.494253,8696.908046,2011,42.3631542,-71.0688334
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,47,17841.53191,9160.957447,8397.765957,2011,42.3396481,-71.1050255
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,28,19455.64286,5917.357143,5153.785714,2011,42.3306338,-71.2464373
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,37,43563.24324,9667.594595,8309.324324,2011,42.3362036,-71.1067408
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,14,12498.71429,9417.5,8533.928571,2011,42.349512,-71.063308
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,220119,FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,11,19259.18182,7359.454545,6644.909091,2011,42.3016411,-71.1287817
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,28,23206,13027.78571,11997.03571,2011,42.373977,-71.1334327
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,11,16200.45455,16748.45455,15882.45455,2011,42.2774915,-71.065494
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,46,42475.32609,24062.65217,23208.28261,2011,42.334447,-71.0740118
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,18,27356.94444,19609.61111,18986.05556,2011,42.3489582,-71.1476809
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,121,65839.19835,18722.79339,16912.18182,2011,42.3631542,-71.0688334
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,100,39532.62,19637.15,18946.07,2011,42.3396481,-71.1050255
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,19,43007.89474,12290.36842,11638.36842,2011,42.3306338,-71.2464373
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,96,72261.86458,19133.14583,17395.83333,2011,42.3362036,-71.1067408
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,46,51443.19565,20149.65217,19449.1087,2011,42.349512,-71.063308
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,29,16225.44828,8603.482759,7632.413793,2011,42.373977,-71.1334327
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,16,19213.875,10737.9375,9826.1875,2011,42.3748024,-71.1042804
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,20,14650.2,11165.8,10153.4,2011,42.2774915,-71.065494
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,70,23411.21429,12955.34286,12073.68571,2011,42.334447,-71.0740118
